coin_code,jurisdiction,status
dodo,omn,draft
knc,omn,draft
bal,omn,draft
mith,omn,draft
mtl,omn,draft
omg,omn,draft
storj,omn,draft
alpha,omn,draft
dent,omn,draft
hxro,omn,draft
loom,omn,draft
orbs,omn,draft
paxg,omn,draft
slp,omn,draft
wbtc,omn,draft
yfii,omn,draft
xtz,omn,draft
egld,omn,draft
oxy,omn,draft
pundix,omn,draft
btc,tur,listed
eth,tur,listed
ltc,tur,listed
xrp,tur,listed
algo,tur,draft
comp,tur,draft
shib,tur,draft
avax,tur,draft
hbar,tur,draft
trx,tur,draft
xlm,tur,draft
bch,tur,draft
eos,tur,draft
usdt,tur,listed
link,tur,listed
uni,tur,draft
usdc,tur,draft
matic,tur,draft
axs,tur,draft
sushi,tur,draft
yfi,tur,draft
dai,tur,draft
enj,tur,draft
sand,tur,draft
mkr,tur,draft
crv,tur,draft
ftm,tur,draft
badger,tur,draft
1inch,tur,draft
perp,tur,draft
cream,tur,draft
sxp,tur,draft
bat,tur,draft
chz,tur,draft
zrx,tur,draft
snx,tur,draft
lrc,tur,draft
aave,tur,draft
bnt,tur,draft
grt,tur,draft
busd,tur,draft
tusd,tur,draft
cro,tur,draft
ftt,tur,draft
leo,tur,draft
ht,tur,draft
cel,tur,draft
audio,tur,draft
band,tur,draft
dodo,tur,draft
knc,tur,draft
bal,tur,draft
mith,tur,draft
mtl,tur,draft
omg,tur,draft
storj,tur,draft
alpha,tur,draft
dent,tur,draft
hxro,tur,draft
loom,tur,draft
orbs,tur,draft
paxg,tur,draft
slp,tur,draft
wbtc,tur,draft
yfii,tur,draft
xtz,tur,draft
egld,tur,draft
oxy,tur,draft
pundix,tur,draft
btc,pk,archived
eth,pk,archived
ltc,pk,archived
xrp,pk,archived
algo,pk,archived
comp,pk,archived
shib,pk,archived
avax,pk,archived
hbar,pk,archived
trx,pk,archived
xlm,pk,archived
bch,pk,archived
eos,pk,archived
usdt,pk,archived
link,pk,archived
uni,pk,archived
usdc,pk,archived
matic,pk,archived
axs,pk,archived
sushi,pk,archived
yfi,pk,archived
dai,pk,archived
enj,pk,archived
sand,pk,archived
mkr,pk,archived
crv,pk,archived
ftm,pk,archived
badger,pk,archived
1inch,pk,archived
perp,pk,archived
cream,pk,archived
sxp,pk,archived
bat,pk,archived
chz,pk,archived
zrx,pk,archived
snx,pk,archived
lrc,pk,archived
aave,pk,archived
bnt,pk,archived
grt,pk,archived
busd,pk,archived
tusd,pk,archived
cro,pk,archived
ftt,pk,archived
leo,pk,archived
ht,pk,archived
cel,pk,archived
audio,pk,archived
band,pk,archived
dodo,pk,archived
knc,pk,archived
bal,pk,archived
mith,pk,archived
mtl,pk,archived
omg,pk,archived
storj,pk,archived
alpha,pk,archived
dent,pk,archived
hxro,pk,archived
loom,pk,archived
orbs,pk,archived
paxg,pk,archived
slp,pk,archived
wbtc,pk,archived
yfii,pk,archived
xtz,pk,archived
egld,pk,archived
oxy,pk,archived
pundix,pk,archived
reef,bhr,draft
skl,bhr,draft
mana,bhr,draft
pax,bhr,draft
reef,uae,draft
skl,uae,draft
mana,uae,draft
pax,uae,draft
reef,sau,draft
skl,sau,draft
mana,sau,draft
pax,sau,draft
reef,omn,draft
